window,miu,be,sig,a,p,LogL
120,0.403814127,0.959994547,0.163504184,0.299998602,5.499987416,-9194.268089
121,0.467518792,0.952533587,0.195656676,0.294658552,5.472049724,-9196.123759
122,0.394274882,0.960023877,0.195407071,0.299651624,5.498985061,-9212.05905
123,0.438066175,0.957649908,0.154540903,0.2776348,5.506748634,-9192.378696
124,0.454234085,0.960093706,0.149796729,0.299550139,5.499633607,-9201.780273
125,0.390640935,0.954262113,0.162229226,0.309798435,5.500713202,-9210.847925
126,0.470165057,0.960369583,0.150133794,0.300002074,5.538743862,-9208.678668
127,0.388386692,0.958994454,0.167705159,0.300161169,5.498961192,-9200.088884
128,0.399496591,0.959999433,0.150229685,0.300138841,5.499998691,-9209.928322
129,0.402955304,0.960045467,0.162525633,0.300223245,5.506074471,-9204.673584
130,0.399936643,0.959928222,0.150001376,0.300729284,5.501102775,-9203.751896
131,0.432000375,0.943573972,0.172628186,0.279212858,5.512351983,-9187.569807
132,0.402194141,0.959994496,0.173077847,0.299998589,5.507507178,-9204.521987
133,0.302447891,0.959951394,0.149996261,0.299987537,5.499887833,-9202.543048
134,0.5447144,0.959905276,0.149992714,0.299975712,5.499781407,-9200.201371
135,0.40002416,0.959993287,0.150078193,0.299998914,5.499992626,-9208.917019
136,0.39997898,0.960009105,0.149992548,0.299987789,5.499992873,-9204.656602
137,0.373938266,0.959980477,0.181492552,0.299994994,5.501570837,-9202.441018
138,0.368147469,0.95980082,0.157849012,0.300009322,5.500058565,-9200.105394
139,0.400136289,0.959977307,0.149983479,0.300156156,5.500001648,-9200.05446
140,0.313689392,0.960335104,0.17636825,0.299639249,5.606849198,-9207.682833
141,0.390531188,0.965898577,0.149628375,0.299071937,5.539836356,-9206.847735
142,0.348651083,0.959033333,0.149967691,0.299652633,5.497883713,-9202.980813
143,0.391306359,0.961740078,0.170857691,0.301402592,5.49833233,-9203.710951
144,0.351529095,0.947368387,0.193244409,0.301846241,5.513729706,-9196.906202
145,0.407961748,0.95998406,0.149998774,0.3013088,5.499963216,-9211.929789
146,0.397564225,0.9599891,0.159309092,0.299997205,5.506465674,-9203.536574
147,0.401196504,0.959997765,0.151401103,0.302996865,5.499997529,-9201.946274
148,0.347658075,0.959812148,0.148711306,0.299029925,5.544996799,-9198.849113
149,0.379827706,0.959974843,0.149998065,0.29999355,5.499941946,-9199.216029
150,0.410033086,0.957475421,0.15210438,0.296124501,5.502826258,-9190.300161
151,0.432706997,0.95999738,0.149996205,0.299988768,5.499869919,-9196.260555
152,0.388175293,0.957105859,0.167660267,0.300178865,5.51253791,-9192.482858
153,0.397310775,0.952529063,0.149692416,0.304631826,5.514827534,-9206.367873
154,0.346572503,0.959823002,0.149678493,0.299719645,5.499825545,-9197.59942
155,0.361405564,0.957499668,0.176658201,0.282071824,5.503915328,-9196.723442
156,0.487505795,0.964813302,0.14940952,0.299834068,5.499033184,-9202.928925
157,0.463083499,0.946163914,0.156796475,0.275408364,5.524634648,-9183.979389
158,0.3881433,0.95999215,0.149999396,0.299997987,5.5058937,-9192.070723
159,0.408971293,0.960046175,0.161413244,0.3047864,5.504880351,-9201.048639
160,0.57876203,0.959687633,0.149975972,0.299919906,5.499279153,-9210.760156
161,0.353435925,0.959964463,0.149997266,0.309964733,5.536101052,-9216.011775
162,0.307392685,0.962789356,0.150620625,0.301242882,5.498065715,-9206.891538
