PIT.Wei.SCD,PIT.GG.SCD,PIT.Burr.SCD,PIT.GB2.SCD,PIT.EGIG.SCD,PIT.EGIG.TSCD
0.717869837,0.717869837,0.661434567,0.649513782,0.453941222,0.454968518
0.428030528,0.428030528,0.232454845,0.553192633,0.083292548,0.086262156
0.287711458,0.287711458,0.144958165,0.141223234,0.13915408,0.148892546
0.826857788,0.826857788,0.834905978,0.824533418,0.766365384,0.774622577
0.28061553,0.28061553,0.083602561,0.11021498,0.171383627,0.177787997
0.778449435,0.778449435,0.76650773,0.748627343,0.768838738,0.774079529
0.427588643,0.427588643,0.253278962,0.661671696,0.243004742,0.245541303
0.788282347,0.788282347,0.78011371,0.763552433,0.940898441,0.940210425
0.265005313,0.265005313,0.072307633,0.096532016,0.248364282,0.252952505
0.804963572,0.804963572,0.805401268,0.789728907,0.87424361,0.876441412
0.259397968,0.259397968,0.079623724,0.094670782,0.128154749,0.137345576
0.427567406,0.427567406,0.603871506,0.961268005,0.243302709,0.240119965
0.291803354,0.291803354,0.136000106,0.109835537,0.112591146,0.112779852
0.452932465,0.452932465,0.262377858,0.27179954,0.464650937,0.462570363
0.726682009,0.726682009,0.690383252,0.669647892,0.773096845,0.772068374
0.289579726,0.289579726,0.143144805,0.115236112,0.196206547,0.206025726
0.766195164,0.766195164,0.748561359,0.723693822,0.793684952,0.793786262
0.544804488,0.544804488,0.372213768,0.389553342,0.246389918,0.251190908
0.670189166,0.670189166,0.578266456,0.574805446,0.654398883,0.65758339
0.28023171,0.28023171,0.096178642,0.119301932,0.127399246,0.133157552
0.677896797,0.677896797,0.594376654,0.600281142,0.437547481,0.447710361
0.28534069,0.28534069,0.110808097,0.110224027,0.148704314,0.155276387
0.55770871,0.55770871,0.435539072,0.40766485,0.454712057,0.450008887
0.557086305,0.557086305,0.386495621,0.409042366,0.380435836,0.38333912
0.689543766,0.689543766,0.611809517,0.584921665,0.672809329,0.676573586
0.354890318,0.354890318,0.196052551,0.206274173,0.166669744,0.177614877
0.399019628,0.399019628,0.189019383,0.213273694,0.362317036,0.360437517
0.28854101,0.28854101,0.156314994,0.122684749,0.217193243,0.222338308
0.572024777,0.572024777,0.387733786,0.425745106,0.677276422,0.683793169
0.476470152,0.476470152,0.268124112,0.299715357,0.636538035,0.645842298
0.581635059,0.581635059,0.467706686,0.434190501,0.802309963,0.80221171
0.765273621,0.765273621,0.740222992,0.727964368,0.734013774,0.735044022
0.552372127,0.552372127,0.399999423,0.394467555,0.624361705,0.626160649
0.711476729,0.711476729,0.626151837,0.641980346,0.753806153,0.757609516
0.696714011,0.696714011,0.637266204,0.615507983,0.779104686,0.781866127
0.424211554,0.424211554,0.250497806,0.220459566,0.2069128,0.217868432
0.525114972,0.525114972,0.330689445,0.362246462,0.335095143,0.347459756
0.270254281,0.270254281,0.112912141,0.107760259,0.09241323,0.092304297
0.290862982,0.290862982,0.105940729,0.124788971,0.261052247,0.266103467
0.709370991,0.309370991,0.154030646,0.127275417,0.229027121,0.237360657
0.705487644,0.905487644,0.665173653,0.631803573,0.846099092,0.855288515
0.74148109,0.74148109,0.71179555,0.683163052,0.784258554,0.787459328
0.810490947,0.810490947,0.809219127,0.797994166,0.763635212,0.769534928
0.434630704,0.434630704,0.287896861,0.245623968,0.135140747,0.141027574
0.440083946,0.440083946,0.252345353,0.956317371,0.313257907,0.313444245
0.440690341,0.440690341,0.247668544,0.962931168,0.580000414,0.583826224
0.45962738,0.45962738,0.275442709,0.767912634,0.144730267,0.147635315
0.294858543,0.294858543,0.138689257,0.116415344,0.246509721,0.254307926
0.70388078,0.30388078,0.156747068,0.125789012,0.234566742,0.238589696
0.475658097,0.475658097,0.337116656,0.30990193,0.403866295,0.405670026
0.313579689,0.313579689,0.122654501,0.133235793,0.345811991,0.352584414
0.325761681,0.325761681,0.149881018,0.143293298,0.228887711,0.23997595
0.492452862,0.492452862,0.362859958,0.328158109,0.35535767,0.361556067
