Parameter,miu,be,sig,a,p,q,LogL,AIC,BIC
Estimate,0.616996848,0.919994194,0.197881561,0.66079259,2.7799908,24.77799908,-9222.260166,18456.52033,18496.92093
Estimate,0.368041544,0.902079539,0.190740164,0.669145429,2.680934641,25.06809346,-9182.681925,18377.36385,18417.76445
Estimate,0.577901473,0.946949869,0.195034493,0.634921885,2.7823286,24.97823286,-9216.744426,18445.48885,18485.88945
Estimate,0.603546519,0.929972099,0.196874839,0.599991415,2.779995994,24.9779996,-9227.034505,18466.06901,18506.46961
Estimate,0.594392739,0.929828606,0.218912857,0.617010366,2.884180116,24.78841801,-9207.891366,18427.78273,18468.18333
Estimate,0.611386527,0.916641892,0.197728798,0.671939417,2.779816932,24.97798169,-9192.2961,18396.5922,18436.9928
Estimate,0.657958091,0.92019752,0.201354534,0.600363575,2.780054943,24.97800549,-9232.380183,18476.76037,18517.16096
Estimate,0.604076846,0.945192002,0.218866011,0.63231821,2.780311331,24.77803113,-9204.221636,18420.44327,18460.84387
Estimate,0.896472779,0.950999507,0.195780859,0.632949369,2.781915735,25.17819157,-9224.119458,18460.23892,18500.63951
Estimate,0.631326308,0.934010278,0.195313002,0.640327485,2.783108232,25.17831082,-9197.294493,18406.58899,18446.98958
Estimate,0.595893449,0.929778901,0.190168522,0.617198062,2.679967696,25.06799677,-9232.368762,18476.73752,18517.13812
Estimate,0.594711341,0.943822082,0.193594938,0.624819458,2.780374786,24.97803748,-9212.959775,18437.91955,18478.32015
Estimate,0.27063267,0.937365087,0.204269427,0.668362557,2.872106332,25.18721063,-9199.712906,18411.42581,18451.82641
Estimate,0.648892934,0.936888336,0.191947466,0.673541963,2.881294722,24.98812947,-9221.294595,18454.58919,18494.98979
Estimate,0.525492841,0.919883175,0.215622801,0.667625689,2.679983225,25.06799832,-9199.236703,18410.47341,18450.874
Estimate,0.618043213,0.930003743,0.190021614,0.640220474,2.77999577,24.77799958,-9227.179588,18466.35918,18506.75977
Estimate,0.626914387,0.920000504,0.214691443,0.599989922,2.783641381,25.07836414,-9225.153504,18462.30701,18502.70761
Estimate,0.480148014,0.9027489,0.201836661,0.623552563,2.775960154,24.97759602,-9204.9508,18421.9016,18462.3022
Estimate,0.639010877,0.928409381,0.193706394,0.652232308,2.787065245,24.97870652,-9206.071787,18424.14357,18464.54417
Estimate,0.568535264,0.923619356,0.206422093,0.673293527,2.784974989,24.9784975,-9200.460316,18412.92063,18453.32123
Estimate,0.321665113,0.917118574,0.199914802,0.664157722,2.777474048,25.0777474,-9217.178165,18446.35633,18486.75693
Estimate,0.638549963,0.941197523,0.197049836,0.630665372,2.780232146,24.97802321,-9218.863359,18449.72672,18490.12731
Estimate,0.642388533,0.929994495,0.207214417,0.599989515,2.779992783,24.97799928,-9229.956682,18471.91336,18512.31396
Estimate,0.616684143,0.948696959,0.195180913,0.633119644,2.775926496,24.97759265,-9231.904099,18475.8082,18516.20879
Estimate,0.597261125,0.929898706,0.2198697,0.656077592,2.780031772,25.07800318,-9231.85245,18475.7049,18516.1055
Estimate,0.52980423,0.927212511,0.192470778,0.585994221,2.858171371,24.98581714,-9190.462676,18392.92535,18433.32595
Estimate,0.612519703,0.929976602,0.210116235,0.655146693,2.788483807,24.97884838,-9205.839203,18423.67841,18464.079
Estimate,0.560562381,0.930000797,0.213443463,0.642443258,2.679992558,24.96799926,-9192.923751,18397.8475,18438.2481
Estimate,0.586022605,0.930000516,0.192872775,0.605086253,2.882961862,25.08829619,-9219.470675,18450.94135,18491.34195
Estimate,0.571768309,0.881610706,0.197285928,0.663280308,2.784793124,24.97847931,-9189.661812,18391.32362,18431.72422
Estimate,0.574996363,0.930030412,0.194677463,0.604719452,2.580659068,24.95806591,-9220.506793,18453.01359,18493.41418
Estimate,0.561578401,0.944347174,0.191672922,0.65709485,2.678535732,25.06785357,-9200.031125,18412.06225,18452.46285
Estimate,0.632300207,0.927456679,0.195599635,0.606457308,2.783800202,24.97838002,-9215.132086,18442.26417,18482.66477
Estimate,0.590491087,0.936726456,0.193704587,0.650199331,2.780911251,24.77809113,-9200.98334,18413.96668,18454.36728
Estimate,0.631904568,0.919538063,0.201195691,0.608055224,2.783823267,24.97838233,-9213.772476,18439.54495,18479.94555
Estimate,0.709488557,0.928299159,0.191469101,0.648240149,2.78406097,24.7784061,-9211.125137,18434.25027,18474.65087
Estimate,0.615556484,0.933769818,0.191946985,0.620717012,2.881522138,25.18815221,-9207.557123,18427.11425,18467.51484
Estimate,0.598061218,0.929950189,0.192318171,0.693517748,2.784708858,24.97847089,-9220.929434,18453.85887,18494.25946
