"miu","be","sig","a","LogL","AIC","BIC"
0.694529199,0.933816057,0.31458012,0.431141849,-9334.661654,18677.32331,18704.25704
0.679348628,0.944093143,0.167989742,0.467530528,-9334.699327,18677.39865,18704.33239
0.395859036,0.944909409,0.149587645,0.353284978,-9335.131809,18678.26362,18705.19735
0.435802441,0.934572498,0.164952252,0.323894694,-9335.189374,18678.37875,18705.31248
0.809568001,0.89679135,0.328127005,0.578192135,-9335.33872,18678.67744,18705.61117
0.621625777,0.968829614,0.178705712,0.332782229,-9335.501151,18679.0023,18705.93603
0.785852767,0.93683555,0.320968935,0.458698033,-9335.719929,18679.43986,18706.37359
0.807038049,0.913774825,0.330315232,0.576355275,-9336.228352,18680.4567,18707.39044
0.745623192,0.907168466,0.321925873,0.393393283,-9336.286702,18680.5734,18707.50713
0.403833527,0.837810998,0.263244781,0.360334284,-9336.324646,18680.64929,18707.58302
0.414323085,0.855941081,0.223517779,0.483649366,-9336.59497,18681.18994,18708.12367
0.920608527,0.949682343,0.277108851,0.459226802,-9336.73206,18681.46412,18708.39785
0.715147471,0.917143932,0.250015963,0.567248362,-9337.466837,18682.93367,18709.86741
0.674346937,0.864391802,0.447334717,0.602287182,-9337.705585,18683.41117,18710.3449
0.89020969,0.95283314,0.249258981,0.410634313,-9337.874465,18683.74893,18710.68266
1.018778004,0.949608813,0.262555103,0.459739949,-9338.070525,18684.14105,18711.07478
0.619994162,0.888874165,0.22061453,0.373393473,-9338.928494,18685.85699,18712.79072
0.589106285,0.953767422,0.319163263,0.523719987,-9339.352227,18686.70445,18713.63819
0.61535313,0.960883604,0.302183627,0.478417648,-9339.625266,18687.25053,18714.18426
0.830457373,0.897296607,0.350027196,0.513781169,-9340.186163,18688.37233,18715.30606
0.740754854,0.947383504,0.252383666,0.351483599,-9340.317639,18688.63528,18715.56901
0.46269976,0.689565209,0.391512331,0.487661663,-9340.333718,18688.66744,18715.60117
0.631122474,0.958037937,0.147877644,0.49098501,-9341.112133,18690.22427,18717.158
0.673995303,0.978908471,0.144180701,0.388100687,-9341.265001,18690.53,18717.46373
0.72236623,0.986096327,0.16771576,0.42912407,-9341.336012,18690.67202,18717.60576
0.766126089,0.976918479,0.22776277,0.438248882,-9341.486704,18690.97341,18717.90714
0.601745633,0.980434534,0.145649696,0.417763413,-9341.628535,18691.25707,18718.1908
