Parameter,miu,be,sig,a,p,LogL,AIC,BIC
Estimate,0.613199917,0.957283856,0.140769567,0.311132295,5.582721104,-9196.419832,18402.83966,18436.50683
Estimate,0.436872478,0.925761921,0.213487366,0.318371646,5.676586343,-9186.065208,18382.13042,18415.79758
Estimate,0.593061547,0.96087613,0.157236672,0.30139806,5.515592822,-9209.849409,18429.69882,18463.36598
Estimate,0.602343531,0.969969734,0.162210051,0.332585431,5.499930513,-9205.027276,18420.05455,18453.72172
Estimate,0.588532663,0.974023427,0.099527392,0.317275137,5.53220461,-9214.576311,18439.15262,18472.81979
Estimate,0.668519489,0.95835726,0.170248607,0.318133085,5.578971856,-9199.409239,18408.81848,18442.48564
Estimate,0.567877831,0.967365349,0.109165689,0.315203854,5.667483707,-9211.722805,18433.44561,18467.11277
Estimate,0.590033742,0.969961597,0.1274338,0.327198194,5.499794392,-9199.144709,18408.28942,18441.95658
Estimate,0.535325057,0.970929661,0.139811899,0.342706843,5.559582167,-9212.596205,18435.19241,18468.85957
Estimate,0.600057561,0.969366452,0.144624001,0.338599648,5.500478744,-9198.713991,18407.42798,18441.09515
Estimate,0.48218648,0.969844558,0.113231177,0.33121944,5.497474946,-9202.201212,18414.40242,18448.06959
Estimate,0.609546781,0.944659907,0.161715536,0.33553639,5.565870792,-9196.188676,18402.37735,18436.04452
Estimate,0.606770596,0.970203435,0.123580825,0.313716142,5.52878987,-9203.387609,18416.77522,18450.44238
Estimate,0.650846117,0.969916338,0.166449528,0.320959468,5.514315778,-9206.792096,18423.58419,18457.25136
Estimate,0.600600078,0.970747344,0.124702592,0.30805301,5.513982115,-9205.144067,18420.28813,18453.9553
Estimate,0.620477095,0.95985193,0.131973502,0.330329333,5.460916376,-9201.797562,18413.59512,18447.26229
Estimate,0.598374792,0.889059631,0.291636911,0.347572065,5.554789991,-9206.161188,18422.32238,18455.98954
Estimate,0.555388772,0.968823791,0.144591639,0.320768154,5.506561385,-9199.0952,18408.1904,18441.85756
