Parameter,miu,be,sig,a,p,q,LogL,AIC,BIC
Estimate,0.573893821,0.961373367,0.108203092,0.539012947,2.997773499,23.89270631,-9988.348472,19988.69694,20029.59451
Estimate,0.714320169,0.959920098,0.135352493,0.545562177,3.054542937,23.89923853,-9988.897154,19989.79431,20030.69187
Estimate,0.594298302,0.960000559,0.149181095,0.541776262,3.027341033,23.89953398,-9970.158557,19952.31711,19993.21467
Estimate,0.660100095,0.952477595,0.119904775,0.541746188,3.009400461,23.96713252,-9987.935594,19987.87119,20028.76875
Estimate,0.679609671,0.922788616,0.177618724,0.561751946,3.06802561,23.91530344,-9983.540122,19979.08024,20019.9778
Estimate,0.656543227,0.965588949,0.111716991,0.542583426,3.00217366,23.90183215,-9986.470674,19984.94135,20025.83891
Estimate,0.61372838,0.953339984,0.107235598,0.5039135,3.346348048,24.12496623,-9995.637466,20003.27493,20044.17249
Estimate,0.654478576,0.967940535,0.149170945,0.53173341,3.043749994,23.89269464,-9988.301621,19988.60324,20029.5008
Estimate,0.730989134,0.959932243,0.199798469,0.557517195,2.999903844,23.95851101,-10000.82656,20013.65312,20054.55068
Estimate,0.646592923,0.962031795,0.100319403,0.527773123,3.002465041,23.9040062,-9998.5769,20009.1538,20050.05136
Estimate,0.581784079,0.949858003,0.123788759,0.500537955,3.462258493,24.09239132,-9978.67736,19969.35472,20010.25228
Estimate,0.612962588,0.959880829,0.116484998,0.547949939,2.999814965,23.930164,-9981.521451,19975.0429,20015.94046
Estimate,0.653453737,0.93422562,0.210508604,0.54882878,3.126220283,23.83722918,-9981.449638,19974.89928,20015.79684
Estimate,0.68138239,0.959859552,0.114007089,0.558951382,3.050511851,23.98018104,-9997.769905,20007.53981,20048.43737
Estimate,0.679687228,0.959503391,0.15800808,0.536077643,3.175369787,23.89585532,-9982.823024,19977.64605,20018.54361
Estimate,0.621065538,0.92267889,0.182245859,0.589307639,2.906073069,23.82518131,-9975.949209,19963.89842,20004.79598
Estimate,0.65810651,0.960744293,0.111555774,0.499423922,2.999829725,23.92086261,-10013.23136,20038.46272,20079.36028
Estimate,0.655428954,0.940315039,0.118758623,0.556649358,2.988866039,23.97198712,-10002.42348,20016.84696,20057.74452
