"miu","be","sig","lam","del","w","LogL","AIC","BIC"
0.215567946,0.944643924,0.18948376,0.23765659,0.665440771,0.922599565,-9828.78069,19669.56138,19710.45894
0.420731085,0.961476712,0.10848137,0.427130739,0.893752122,0.557795061,-9829.09538,19670.19076,19711.08832
0.301544803,0.855600526,0.215345269,0.167734488,0.692437287,0.861209867,-9830.17069,19672.34138,19713.23894
0.815925266,0.95140017,0.125960263,0.487720276,0.786989693,0.59280306,-9830.17253,19672.34506,19713.24262
0.173825498,0.9030967,0.269613421,0.337442268,0.792494877,0.796070983,-9830.28666,19672.57332,19713.47088
0.599037298,0.916944973,0.165540355,0.346802882,0.700544744,0.847273664,-9830.5881,19673.1762,19714.07376
0.291817415,0.893711948,0.274196812,0.089416133,0.781332513,0.745923383,-9831.26872,19674.53744,19715.435
0.608538394,0.950957583,0.126190698,0.214345748,0.677234446,0.769438887,-9831.34598,19674.69196,19715.58952
0.279933342,0.850570214,0.385732215,0.236194832,0.851821821,0.745417856,-9831.772,19675.544,19716.44156
0.491694232,0.927622844,0.146518093,0.238620637,0.765627707,0.641870982,-9832.0688,19676.1376,19717.03516
0.676055131,0.900004371,0.238218204,0.214224285,0.699946575,0.71815508,-9832.72175,19677.4435,19718.34106
0.558025473,0.905040561,0.164278639,0.177422838,0.735705657,0.758517951,-9832.80464,19677.60928,19718.50684
0.227830417,0.979902606,0.156079972,0.409328008,0.706671641,0.664711077,-9832.89485,19677.7897,19718.68726
0.216884916,0.943717262,0.226385181,0.37142676,0.726429796,0.831740189,-9832.90577,19677.81154,19718.7091
0.584850605,0.968415048,0.1012506,0.32612732,0.711368514,0.742845686,-9832.9774,19677.9548,19718.85236
0.525434728,0.970319524,0.1038343,0.302594112,0.698070119,0.725500575,-9834.60336,19681.20672,19722.10428
0.360033379,0.896565645,0.142950317,0.275789712,0.711791258,0.753778322,-9834.80009,19681.60018,19722.49774
0.346604953,0.819716773,0.29828175,0.283933219,0.730193266,0.673428996,-9834.89089,19681.78178,19722.67934
0.255748175,0.953116547,0.186471614,0.147389357,0.728392927,0.776522421,-9835.19843,19682.39686,19723.29442
0.184116379,0.897545347,0.255525173,0.252038573,0.78341349,0.661642285,-9835.20593,19682.41186,19723.30942
0.596774924,0.899219145,0.179152935,0.188472545,0.832958648,0.641440126,-9835.26113,19682.52226,19723.41982
0.189115907,0.891691363,0.256598202,0.2375439,0.902453993,0.605304402,-9837.03701,19686.07402,19726.97158
0.518412419,0.980000922,0.099990777,0.685554635,0.821277881,0.599981553,-9837.15902,19686.31804,19727.2156
0.799566563,0.900006138,0.259555454,0.27694554,0.799930521,0.711959053,-9837.35073,19686.70146,19727.59902
0.270935499,0.952973886,0.202834354,0.203431869,0.75055404,0.705150569,-9837.5384,19687.0768,19727.97436
0.616417906,0.96939229,0.152121851,0.251734102,0.699876619,0.789776211,-9838.35647,19688.71294,19729.6105
0.293553708,0.97010345,0.100285171,0.540563313,0.700664928,0.766710898,-9838.38931,19688.77862,19729.67618
0.171429934,0.900003304,0.282126911,0.369551915,1.006657246,0.599992657,-9838.58225,19689.1645,19730.06206
0.615573865,0.854177752,0.311971393,0.146646815,0.834767279,0.704633984,-9838.78302,19689.56604,19730.4636
0.289774528,0.822622632,0.352875316,0.074564292,0.821648356,0.756196726,-9838.9276,19689.8552,19730.75276
0.554029413,0.942162609,0.163172408,0.158502395,0.790716154,0.716330047,-9839.02821,19690.05642,19730.95398
