"miu","be","sig","a","LogL","AIC","BIC"
0.55872754,0.818774215,0.308190084,0.838145439,-10055.49529,20118.99059,20146.25563
0.580664317,0.900006055,0.308882852,0.913727724,-10055.49743,20118.99487,20146.25991
0.34404366,0.901386841,0.29543951,0.80232695,-10055.5678,20119.13561,20146.40065
0.617209185,0.860835227,0.279079519,0.823165314,-10055.61082,20119.22163,20146.48667
0.520695002,0.863802929,0.279978411,0.783148036,-10055.65777,20119.31553,20146.58057
0.589716199,0.909657814,0.178127451,0.788743443,-10055.84331,20119.68663,20146.95167
0.566262443,0.888611958,0.233024004,0.918438413,-10056.08124,20120.16248,20147.42752
0.278273359,0.94136531,0.187610406,0.788168769,-10056.14046,20120.28092,20147.54596
0.385750579,0.928002554,0.192601806,0.761037105,-10056.29385,20120.58771,20147.85275
0.654343899,0.900003571,0.230288947,0.799907247,-10056.57687,20121.15375,20148.41879
0.395677135,0.899442949,0.17946067,0.827915319,-10056.6248,20121.24961,20148.51465
0.25113971,0.863723168,0.310129887,0.815126917,-10056.66337,20121.32674,20148.59178
0.592147187,0.899956552,0.274874874,0.809078592,-10056.68107,20121.36214,20148.62718
0.443679667,0.899453518,0.292712072,0.799027647,-10056.69238,20121.38476,20148.6498
0.564647586,0.880719859,0.21358195,0.790799954,-10056.79155,20121.5831,20148.84814
0.335674101,0.761429911,0.334001629,0.83393522,-10056.79384,20121.58768,20148.85273
0.310814065,0.849588823,0.270995409,0.781523675,-10056.84249,20121.68498,20148.95002
0.640916744,0.912775486,0.230289548,0.804790581,-10056.89053,20121.78106,20149.04611
0.665822357,0.918378655,0.240194565,0.892610663,-10056.92695,20121.8539,20149.11894
0.552962092,0.909171703,0.214184945,0.761534101,-10057.02983,20122.05967,20149.32471
0.632944389,0.892671783,0.238163985,0.806832861,-10057.15217,20122.30435,20149.56939
